place_id,lugar_id,place_name,standardize_label,alt_names,place_type,es_parte,latitude,longitude,language,source,uri,country_code,mentioned_as
37,37,Jauja,Jauja,,parroquia,,-11.77527,-75.50007,es,Grecia Roque (collaborator GIS data),,PE,['Jauja']
38,38,Llusita,Llusita,,,79,-13.69857,-74.11561,es,Grecia Roque (collaborator GIS data),,PE,['Llusita']
39,39,Lucanas,Lucanas,San Juan de Lucanas,,,-14.62236,-74.23348,es,Grecia Roque (collaborator GIS data),,PE,"['Lucanas', 'San Juan de Lucanas']"
40,40,Mayo Luren,Mayo Luren,Mayo,caserio,47,-14.2479,-74.04268,es,Grecia Roque (collaborator GIS data),,PE,"['Mayo', 'Mayo, caserio', 'Mayo, punto']"
41,41,Mayobamba,Mayobamba,Moyobamba,,23,-14.37474,-73.89274,es,Grecia Roque (collaborator GIS data),,PE,"['Mayobamba', 'Moyobamba']"
42,42,Morcolla,Morcolla,,,60,-14.10869,-73.87223,es,Grecia Roque (collaborator GIS data),,PE,['Morcolla']
43,43,Nasca,Nasca,Nazca,,,-14.82763,-74.937,es,Grecia Roque (collaborator GIS data),,PE,"['Nasca', 'Nazca']"
44,44,Orccosa,Orccosa,Hurccuza,caserio,,-14.25084,-74.03514,es,Grecia Roque (collaborator GIS data),,PE,"['Orccosa', 'Hurccuza']"
45,45,Otoca,Otoca,,,,-14.4902,-74.6864,es,Grecia Roque (collaborator GIS data),,PE,['Otoca']
46,46,Paire,Paire,,iglesia viceparroquial|cementerio o panteón,12|8,-14.1579,-73.97596,es,Grecia Roque (collaborator GIS data),,PE,"['Paire', 'Paire, cementerio general', 'Paire, iglesia', 'Paire, panteón', 'Paire, panteón general', 'Paire, viceparroquia', 'Paire, viceparroquia, pueblo']"
47,47,Pampamarca,Pampamarca,,iglesia viceparroquial|cementerio o panteón,8,-14.23274,-74.04139,es,Grecia Roque (collaborator GIS data),,PE,"['Mayo Pampamarca', 'Pampamarca', 'Pampamarca, anexo', 'Pampamarca, panteón general', 'pampamarca']"
48,48,Puquio,Puquio,,parroquia,,-14.69401,-74.12415,es,Grecia Roque (collaborator GIS data),,PE,['Puquio']
