Condición_legitimacy_status,Condición_marital_status,Condición_social_condition
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
legitimo,,
,,
,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
ilegitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
ilegitimo,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
ilegitimo,,
,,
,,
,,
ilegitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
,,
,,
ilegitimo,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
ilegitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
ilegitimo,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
ilegitimo,,
ilegitimo,,
legitimo,,
,,
,,
legitimo,,
,,
,,
,,
,,
,,
,,
ilegitimo,,
legitimo,,
ilegitimo,,
legitimo,,
,,
ilegitimo,,
,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
legitimo,,
ilegitimo,,
,,
ilegitimo,,
legitimo,,
legitimo,,
,,
ilegitimo,,
legitimo,,
,,
,,
ilegitimo,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
,,
,,
,,
,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
,,
legitimo,,
,,
,,
,,
,,
,,
,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
,,
ilegitimo,,
ilegitimo,,
,,
legitimo,,
,,
legitimo,,
legitimo,,
legitimo,,
ilegitimo,,
legitimo,,
ilegitimo,,español
ilegitimo,,español
,,indio
,,indio
legitimo,,indio
,,indio
,,
legitimo,,
,,indio
,,indio
,,español
,,indio
,,indio
,,
ilegitimo,,español
legitimo,,indio
legitimo,,
legitimo,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,
legitimo,,
,,indio
,,indio
,,indio
,,indio
legitimo,,indio
ilegitimo,,español
,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
ilegitimo,,indio
legitimo,,indio
,,indio
,,indio
ilegitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
ilegitimo,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
ilegitimo,,español
ilegitimo,,indio
,,indio
ilegitimo,,español
,,indio
legitimo,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
ilegitimo,,español
,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,español
ilegitimo,,
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
,,español
legitimo,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
ilegitimo,,indio
legitimo,,indio
,,indio
,,español
,,indio
ilegitimo,,
,,indio
ilegitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
legitimo,,indio
,,indio
legitimo,,indio
,,indio
,,indio
ilegitimo,,indio
ilegitimo,,indio
legitimo,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,español
,,indio
ilegitimo,,español
ilegitimo,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
ilegitimo,,indio
,,indio
,,indio
,,indio
legitimo,,indio
legitimo,,indio
,,indio
,,indio
,,indio
legitimo,,indio
