uri,place,country,place_type,standardize_label,language,latitude,longitude,source,id,country_code,part_of,part_of_uri,confidence,threshold,match_type
http://sws.geonames.org/3939386/,Huanta,PE,city,Huanta,es,-12.93333,-74.25,GeoNames,3939386.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3939003/,Aucara Huaycahuacho,PE,city,Huaycahuaycho,es,-14.15,-74.01667,GeoNames,3939003.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3938825/,Huaytara,PE,city,Huaytará,es,-13.60445,-75.35308,GeoNames,3938825.0,PE,,,93.33333333333333,90.0,fuzzy
http://sws.geonames.org/3938527/,Ica,PE,city,Ica,es,-14.07538,-75.73422,GeoNames,3938527.0,PE,,,100.0,70.0,exact
http://sws.geonames.org/3958739/,Illapata,PE,city,Illapata,es,-14.12556,-73.94056,GeoNames,3958739.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3938319/,India,PE,city,India Muerta,es,-17.52913,-71.16753,GeoNames,3938319.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3696222/,indio,PE,city,Indio Piro,es,-8.83333,-73.63333,GeoNames,3696222.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3938160/,Ishua,PE,city,Ishua,es,-14.24986,-73.95556,GeoNames,3938160.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3937733/,Jauja,PE,city,Jauja,es,-11.77584,-75.49656,GeoNames,3937733.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/6380634/,Julcamarca,PE,city,Julca,es,-9.28868,-77.99051,GeoNames,6380634.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3936871/,Laramate,PE,city,Laramate,es,-13.02842,-74.3797,GeoNames,3936871.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/8661432/,Larcay,PE,city,Larcay,es,-12.73805,-74.53673,GeoNames,8661432.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3936456/,Lima,PE,city,Lima,es,-12.04318,-77.02824,GeoNames,3936456.0,PE,,,100.0,70.0,exact
http://sws.geonames.org/3936093/,Llusita,PE,city,Llusita,es,-13.69774,-74.11743,GeoNames,3936093.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3935350/,Marca,PE,city,Marca,es,-16.5,-69.15,GeoNames,3935350.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3935121/,Mayobamba,PE,city,Mayobamba,es,-14.37583,-73.89194,GeoNames,3935121.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3694564/,Moyobamba,PE,city,Moyobamba,es,-6.03441,-76.97423,GeoNames,3694564.0,PE,,,100.0,90.0,exact
http://sws.geonames.org/3934206/,Ocaña,PE,city,Ocaña,es,-13.04506,-74.3784,GeoNames,3934206.0,PE,,,100.0,90.0,exact
